Sample,PRJNA Project,Year_Collected,Place/Region,ACE1,AVR-Pi9,AVR-Pia,AVR-Pib,AVR-Pii,AVR-Piks,AVR-Pita1,AVR-Pizt
432TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
433TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
434TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
435TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
436TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
437TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
438TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
439TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
440TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
441TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
442TM,-,1994,USA - TX,1,1,0,1,1,1,1,1
443TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
SRR18092176,PRJNA748547,1995,China,1,1,0,0,0,0,0,0
SRR18092180,PRJNA748547,1995,China,1,1,0,1,0,1,1,1
SRR18092182,PRJNA748547,1995,China,1,1,0,1,0,1,1,1
SRR18092194,PRJNA748547,1995,China,1,1,0,1,0,1,1,1
SRR18092195,PRJNA748547,1995,China,1,1,0,1,0,1,1,1
SRR18092200,PRJNA748547,1995,China,1,0,1,0,0,1,1,1
SRR18092201,PRJNA748547,1995,China,1,1,0,1,0,1,1,1
SRR18092203,PRJNA748547,1995,China,1,1,0,1,0,1,0,1
SRR18092210,PRJNA748547,1995,China,1,1,0,1,0,0,1,1
SRR18092211,PRJNA748547,1995,China,1,0,0,1,0,1,0,1
SRR18092244,PRJNA748547,1995,China,1,1,0,1,0,1,1,1
SRR18092251,PRJNA748547,1995,China,1,0,0,0,0,1,1,1
SRR18092252,PRJNA748547,1995,China,1,1,0,0,0,1,0,1
SRR18092254,PRJNA748547,1995,China,1,1,0,1,0,1,0,1
SRR18092256,PRJNA748547,1995,China,1,0,0,0,0,0,0,1
SRR6669201,PRJNA354675,1995,China,1,1,0,1,0,1,1,1
